page_num,revision,table_sno,manufacturer_raw,manufacturer_clean,location_raw,location_clean,bis_registration_raw,bis_registration_clean,enlisted_capacity_raw,enlisted_capacity_clean,note,rev_rank,manufacturer_normalized
38,Revision- XLV,2,"MKU Holdings DTA-02, PLOT-16-17-20-21,",MKU Holdings DTA-02,PLOT-16-17-20-21,PLOT-16-17-20-21,R-84005282,R-84005282,1247.0,1247.0,,45,MKU HOLDINGS PRIVATE LIMITED
17,Revision-XLVII,2,"Insolation Green Energy KHASRA NO. 4205/3454,",Insolation Green Energy,KHASRA NO. 4205/3454,KHASRA NO. 4205/3454,R-84005622,R-84005622,4282.0,4282.0,,47,INSOLATION GREEN ENERGY PRIVATE LIMITED
16,Revision-XLVII,1,"Startup Energy Private SP1-1, STARTUP ENERGY","Startup Energy Private SP1-1, STARTUP ENERGY",,,R-84005800,R-84005800,1034.0,1034.0,,47,STARTUP ENERGY PRIVATE LIMITED
34,Revision-XLVI,14,Grew Energy Private Khasra Number 851 to,Grew Energy Private,Khasra Number 851 to,Khasra Number 851 to,R-84006289,R-84006289,3015.0,3015.0,,46,GREW ENERGY PRIVATE LIMITED
30,Revision-XLVI,6,"SAEL SOLAR P6 KH NO. 154, 743/738 AT VILLAGE",SAEL SOLAR P6,"KH NO. 154, 743/738 AT VILLAGE","KH NO. 154, 743/738 AT VILLAGE",R-84006297,R-84006297,1535.0,1535.0,,46,SAEL SOLAR P6 PRIVATE LIMITED
24,Revision-XLVII,11,"Best Apartment Private 174 175 200 201 202, BAD KE",Best Apartment Private 174 175 200 201 202,BAD KE,BAD KE,R-84006300,R-84006300,1105.0,1105.0,,47,BEST APARTMENT PRIVATE LIMITED
178,Revision - XXXVI,4,"Saatvik Green Energy Pvt. Village Dubli, Tehshil- Barara, Dist-",Saatvik Green Energy Pvt,"Village Dubli, Tehshil- Barara, Dist","Village Dubli, Tehshil- Barara, Dist",R-91003670,R-91003670,1740.0,1740.0,,36,SAATVIK GREEN ENERGY PRIVATE LIMITED
269,Revision - XXXVI,77,"Sun N Sand Exim Plot No- 106, Sector 16, HSIIDC",Sun N Sand Exim,"Plot No- 106, Sector 16, HSIIDC","Plot No- 106, Sector 16, HSIIDC",R-91004529,R-91004529,69.0,69.0,,36,SUN N SAND EXIM PRIVATE LIMITED
229,Revision - XXXVI,36,"Rhine Solar Limited Killa No. 80/6, Janti Kalan Rd, Sersa,",Rhine Solar Limited,"Killa No. 80/6, Janti Kalan Rd, Sersa","Killa No. 80/6, Janti Kalan Rd, Sersa",R-91008249,R-91008249,71.0,71.0,,36,RHINE SOLAR LIMITED
35,Revision-XLVI,16,OSWAL SOLAR OPPOSITE DD INTERNATIONAL,OSWAL SOLAR OPPOSITE DD INTERNATIONAL,,,R-91013935,R-91013935,513.0,513.0,,46,OSWAL SOLAR PRIVATE LIMITED
