page_num,revision,table_sno,manufacturer_raw,manufacturer_clean,location_raw,location_clean,bis_registration_raw,bis_registration_clean,enlisted_capacity_raw,enlisted_capacity_clean,note,rev_rank,manufacturer_normalized
92,Revision-XLI,8,"Indosol Solar Sy. Nos. 584/9,",Indosol Solar,Sy. Nos. 584/9,Sy. Nos. 584/9,R-66003000,R-66003000,632.0,632.0,,41,INDOSOL SOLAR PRIVATE LIMITED
263,Revision - XXXVI,70,"PV Power Plot No.60, Tarapur Textile Park",PV Power,"Plot No.60, Tarapur Textile Park","Plot No.60, Tarapur Textile Park",R-71007650,R-71007650,86.0,86.0,,36,PV POWER
100,Revision-XLI,15,"Novasys Khasra No. 185,",Novasys,Khasra No. 185,Khasra No. 185,R-71010499,R-71010499,504.0,504.0,,41,NOVASYS GREENERGY PRIVATE LIMITED
96,Revision-XLI,13,"ECE (India) F-27, Express",ECE,"F-27, Express","F-27, Express",R-71012220,R-71012220,39.0,39.0,India,41,ECE
204,Revision - XXXVI,14,"Contendre Unit No: I/6, Rajlakshmi HiTech",Contendre,"Unit No: I/6, Rajlakshmi HiTech","Unit No: I/6, Rajlakshmi HiTech",R-71013196,R-71013196,49.0,49.0,,36,CONTENDRE
126,Revision-XXXVIII,1,"Agrawal Plot No. 66/0, Dhoop",Agrawal,"Plot No. 66/0, Dhoop","Plot No. 66/0, Dhoop",R-71013536,R-71013536,125.0,125.0,,38,AGRAWAL
160,Revision-XXXVII,3,"Renewsys Plot No. E141, Additional",Renewsys,"Plot No. E141, Additional","Plot No. E141, Additional",R-71018970,R-71018970,1176.0,1176.0,,37,RENEWSYS INDIA PRIVATE LIMITED
228,Revision - XXXVI,35,"Spark Solar N-4, Rajlaxmi Hitech Textile Park,","Spark Solar N-4, Rajlaxmi Hitech Textile Park",,,R-71023310,R-71023310,124.0,124.0,,36,"SPARK SOLAR N-4, RAJLAXMI HITECH TEXTILE PARK"
71,Revision-XLIII,10,"Suryanand Solar Opp Prince Steel, Plot No",Suryanand Solar Opp Prince Steel,Plot No,Plot No,R-71028959,R-71028959,33.0,33.0,,43,SURYANAND SOLAR OPP PRINCE STEEL
175,Revision-XXXVII,18,"Rayon Plot No. 42, Sector 5,",Rayon,"Plot No. 42, Sector 5","Plot No. 42, Sector 5",R-71036293,R-71036293,62.0,62.0,,37,RAYON POWER PRIVATE LIMITED
112,Revision-XL,4,"Worldone D 18, Umred, MIDC","Worldone D 18, Umred, MIDC",,,R-71039837,R-71039837,164.0,164.0,,40,"WORLDONE D 18, UMRED, MIDC"
53,Revision-XLIV,7,"Avaada Electro Private A-67, MIDC Road, Additional","Avaada Electro Private A-67, MIDC","Road, Additional","Road, Additional",R-71040312,R-71040312,6909.0,6909.0,,44,AVAADA ELECTRO PRIVATE LIMITED
4,Revision-XLVIII,5,"NOVASYS GREENERGY PLOT NO. 59, KH. NO. 178, 179,",NOVASYS GREENERGY,"PLOT NO. 59, KH. NO. 178, 179","PLOT NO. 59, KH. NO. 178, 179",R-71042080,R-71042080,865.0,865.0,,48,NOVASYS GREENERGY PRIVATE LIMITED
28,Revision-XLVI,2,"RenewSys India Pvt. B-300, SURVEY NO: 54/1 (PT);",RenewSys India Pvt,"B-300, SURVEY NO: 54/1 (PT);","B-300, SURVEY NO: 54/1 (PT);",R-71045160,R-71045160,2268.0,2268.0,,46,RENEWSYS INDIA PRIVATE LIMITED
3,Revision-XLVIII,1,"Sudarshan Saur Shakti GUT NO. 37, ITAWA,",Sudarshan Saur Shakti,"GUT NO. 37, ITAWA","GUT NO. 37, ITAWA",R-71046108,R-71046108,360.0,360.0,,48,SUDARSHAN SAUR SHAKTI PRIVATE LIMITED
11,Revision-XLVIII,15,"REDREN ENERGY PVT. SURVEY NO. 154/1, NATIONAL",REDREN ENERGY PVT,"SURVEY NO. 154/1, NATIONAL","SURVEY NO. 154/1, NATIONAL",R-72001775,R-72001775,1684.0,1684.0,,48,REDREN ENERGY PRIVATE LIMITED
47,Revision- XLV,14,"Australian Premium Tajpur, NH-08, TA:Prantij,",Australian Premium,"Tajpur, NH-08, TA:Prantij","Tajpur, NH-08, TA:Prantij",R-72001791,R-72001791,622.0,622.0,,45,AUSTRALIAN PREMIUM SOLAR LIMITED
239,Revision - XXXVI,43,"Goldi Solar Pvt Block No:149, Plot No: J&K1, Beside",Goldi Solar Pvt,"Block No:149, Plot No: J&K1, Beside","Block No:149, Plot No: J&K1, Beside",R-72001805,R-72001805,396.0,396.0,,36,GOLDI SOLAR PRIVATE LIMITED
112,Revision-XL,5,"Pahal Solar Ground Floor, Block No.",Pahal Solar Ground Floor,Block No,Block No,R-72001848,R-72001848,264.0,264.0,,40,PAHAL SOLAR PRIVATE LIMITED
101,Revision-XLI,17,"Citizen Solar New Survey No-966,",Citizen Solar New,Survey No-966,Survey No-966,R-72001929,R-72001929,198.0,198.0,,41,CITIZEN SOLAR NEW
46,Revision- XLV,11,"Waaree Energies SURVEY NO. 38/1,TUMB",Waaree Energies,"SURVEY NO. 38/1,TUMB","SURVEY NO. 38/1,TUMB",R-72002038,R-72002038,1095.0,1095.0,,45,WAAREE ENERGIES LIMITED
136,Revision-XXXVIII,19,Green Plot No 1408 G.I.D.C.,Green,Plot No 1408 G.I.D.C,Plot No 1408 G.I.D.C,R-72002119,R-72002119,32.0,32.0,,38,GREENBRILLIANCE RENEWABLE ENERGY LLP
66,Revision-XLIII,3,"Rayzon Solar Block No. 94/1/1F, 94/1/3,",Rayzon Solar,"Block No. 94/1/1F, 94/1/3","Block No. 94/1/1F, 94/1/3",R-72002305,R-72002305,3406.0,3406.0,,43,RAYZON SOLAR LIMITED
266,Revision - XXXVI,72,"Lubi Electronics Survey No. 75, Opposite Essar Petrol",Lubi Electronics,"Survey No. 75, Opposite Essar Petrol","Survey No. 75, Opposite Essar Petrol",R-72002380,R-72002380,40.0,40.0,,36,LUBI ELECTRONICS
178,Revision - XXXVI,3,"Solex Energy Ltd Plot No. 131/A Phase-1, G.I.D.C,",Solex Energy Ltd,"Plot No. 131/A Phase-1, G.I.D.C","Plot No. 131/A Phase-1, G.I.D.C",R-72002577,R-72002577,21.0,21.0,,36,SOLEX ENERGY LIMITED
153,Revision-XXXVIII,27,"Waaree Unit 2B, Survey No. 267,",Waaree,"Unit 2B, Survey No. 267","Unit 2B, Survey No. 267",R-72003085,R-72003085,1106.0,1106.0,,38,WAAREE ENERGIES LIMITED
131,Revision-XXXVIII,7,"Navitas Green Plot No. B-20/3, Road No.",Navitas Green,"Plot No. B-20/3, Road No","Plot No. B-20/3, Road No",R-72003140,R-72003140,250.0,250.0,,38,NAVITAS GREEN SOLUTIONS PRIVATE LIMITED
160,Revision-XXXVII,2,"Raajratna Survey No. 69/2,",Raajratna,Survey No. 69/2,Survey No. 69/2,R-72003379,R-72003379,86.0,86.0,,37,RAAJRATNA
79,Revision-XLII,2,"Kosol Survey No: 415/B,",Kosol,Survey No: 415/B,Survey No: 415/B,R-72003417,R-72003417,1526.0,1526.0,,42,KOSOL ENERGIE PRIVATE LIMITED
7,Revision-XLVIII,7,"PIXON GREEN ENERGY R.S NO. 1571/1, 158/1, 158/2,",PIXON GREEN ENERGY R.S,"NO. 1571/1, 158/1, 158/2","NO. 1571/1, 158/1, 158/2",R-72004570,R-72004570,1646.0,1646.0,,48,PIXON GREEN ENERGY PRIVATE LIMITED
215,Revision - XXXVI,26,"Mundra Solar Energy Taluka Mundra, Survey No.180/P,",Mundra Solar Energy,"Taluka Mundra, Survey No.180/P","Taluka Mundra, Survey No.180/P",R-72005460,R-72005460,1977.0,1977.0,,36,MUNDRA SOLAR ENERGY PRIVATE LIMITED
14,Revision-XLVIII,19,"WAAREE ENERGIES Sr. No. 1934,1939,1941,1942, NH-",WAAREE ENERGIES Sr,"No. 1934,1939,1941,1942, NH","No. 1934,1939,1941,1942, NH",R-72005533,R-72005533,16444.0,16444.0,,48,WAAREE ENERGIES LIMITED
3,Revision-XLVIII,2,"UNIQUE SUN POWER BL NO. 2281/2/1/1, SUB PLOT. 1-",UNIQUE SUN POWER BL,"NO. 2281/2/1/1, SUB PLOT. 1","NO. 2281/2/1/1, SUB PLOT. 1",R-72005550,R-72005550,609.0,609.0,,48,UNIQUE SUN POWER PRIVATE LIMITED
214,Revision - XXXVI,24,"Sahaj Solar Private Plot No. D4, Survey No. 742,745,",Sahaj Solar Private,"Plot No. D4, Survey No. 742,745","Plot No. D4, Survey No. 742,745",R-72005630,R-72005630,54.0,54.0,,36,SAHAJ SOLAR PRIVATE
120,Revision-XXXIX,2,"SASA Energy S.No. 193, Opposite",SASA Energy,"S.No. 193, Opposite","S.No. 193, Opposite",R-72005681,R-72005681,98.0,98.0,,39,SASA ENERGY
220,Revision - XXXVI,31,"SUNBOND Energy S.No. 181/P2 Opp. 66 kV substation,",SUNBOND Energy,S.No. 181/P2 Opp. 66 kV substation,S.No. 181/P2 Opp. 66 kV substation,R-72005762,R-72005762,271.0,271.0,,36,SUNBOND ENERGY
3,Revision-XLVIII,3,"SUNIFY SOLAR LLP Survey no. 624P1, Near",SUNIFY SOLAR LLP,"Survey no. 624P1, Near","Survey no. 624P1, Near",R-72005800,R-72005800,1533.0,1533.0,,48,SUNIFY SOLAR LLP
95,Revision-XLI,11,Ganesh Green Survey No.,Ganesh Green,Survey No,Survey No,R - 72005886,R-72005886,557.0,557.0,,41,GANESH GREEN BHARAT LIMITED
72,Revision-XLIII,12,Axitec Energy India Co-ALMM with M/s. Rayzon,Axitec Energy India,Co-ALMM with M/s. Rayzon,Co-ALMM with M/s. Rayzon,R-72005924,R-72005924,150.0,150.0,,43,AXITEC ENERGY INDIA PRIVATE LIMITED
169,Revision-XXXVII,12,"Aatmanirbhar Survey no 192,",Aatmanirbhar,Survey no 192,Survey no 192,R-72005940,R-72005940,158.0,158.0,,37,AATMANIRBHAR
67,Revision-XLIII,4,"Goldi Sun Private City Survey No. 920,",Goldi Sun Private City,Survey No. 920,Survey No. 920,R-72006149,R-72006149,4522.0,4522.0,,43,GOLDI SUN PRIVATE LIMITED
91,Revision-XLI,5,"Credence Solar Plot no 18 and 19,",Credence Solar,Plot no 18 and 19,Plot no 18 and 19,R-72006165,R-72006165,495.0,495.0,,41,CREDENCE SOLAR PANELS PRIVATE LIMITED
152,Revision-XXXVIII,25,"Amrut Energy Survey No. 69, Opp.",Amrut Energy,"Survey No. 69, Opp","Survey No. 69, Opp",R-72006793,R-72006793,48.0,48.0,,38,AMRUT ENERGY
269,Revision - XXXVI,76,"Powertrac Solar LS No. - 248/2, Opp. Rai Bus stand,",Powertrac Solar,"LS No. - 248/2, Opp. Rai Bus stand","LS No. - 248/2, Opp. Rai Bus stand",R-72007269,R-72007269,47.0,47.0,,36,POWERTRAC SOLAR
21,Revision-XLVII,8,"Solex Energy Limited Plot No 1A, Block 938,",Solex Energy Limited,"Plot No 1A, Block 938","Plot No 1A, Block 938",R-72008125,R-72008125,3782.0,3782.0,,47,SOLEX ENERGY LIMITED
11,Revision-XLVIII,14,"Mundra Solar PV Survey no 180 P, Co Mundra",Mundra Solar PV,"Survey no 180 P, Co Mundra","Survey no 180 P, Co Mundra",R-72008532,R-72008532,2449.0,2449.0,,48,MUNDRA SOLAR PV LIMITED
252,Revision - XXXVI,57,"Total Solar Block No. 84 Paiki, Opposite",Total Solar,"Block No. 84 Paiki, Opposite","Block No. 84 Paiki, Opposite",R-72009466,R-72009466,52.0,52.0,,36,TOTAL SOLAR
249,Revision - XXXVI,55,"Solberry Energy Survey No.-164/002 & 165, Near",Solberry Energy,"Survey No.-164/002 & 165, Near","Survey No.-164/002 & 165, Near",R-72009490,R-72009490,56.0,56.0,,36,SOLBERRY ENERGY
80,Revision-XLII,5,"Cosmic PV Survey No. 1605/1,",Cosmic PV,Survey No. 1605/1,Survey No. 1605/1,R-72009539,R-72009539,1302.0,1302.0,,42,COSMIC PV POWER PRIVATE LIMITED
92,Revision-XLI,7,"ReNew Plot No. 232, TP-2/A,",ReNew,"Plot No. 232, TP-2/A","Plot No. 232, TP-2/A",R-72009903,R-72009903,1884.0,1884.0,,41,RENEW PHOTOVOLTAICS PRIVATE LIMITED
268,Revision - XXXVI,75,"Uratom Solar (India) Survey No. 752 P1, National Highway",Uratom Solar,"Survey No. 752 P1, National Highway","Survey No. 752 P1, National Highway",R-72010081,R-72010081,46.0,46.0,India,36,URATOM SOLAR (INDIA) PRIVATE LIMITED
273,Revision - XXXVI,81,"Hexatron Industries Survey No. 575, 576, 577 & 578 Village",Hexatron Industries,"Survey No. 575, 576, 577 & 578 Village","Survey No. 575, 576, 577 & 578 Village",R-72010715,R-72010715,203.0,203.0,,36,HEXATRON INDUSTRIES
56,Revision-XLIV,9,"FS Green Energies Block No. 160 - 164, 168",FS Green Energies,"Block No. 160 - 164, 168","Block No. 160 - 164, 168",R-72011258,R-72011258,5001.0,5001.0,,44,FS GREEN ENERGIES PRIVATE LIMITED
85,Revision-XLII,9,Lubi Co-ALMM with 40,Lubi,Co-ALMM with 40,Co-ALMM with 40,R-72011304,R-72011304,19.0,19.0,,42,LUBI
93,Revision-XLI,10,Northgreen Shed No.1 Manvi,Northgreen,Shed No.1 Manvi,Shed No.1 Manvi,R-72011339,R-72011339,29.0,29.0,,41,GREENBRILLIANCE RENEWABLE ENERGY LLP
14,Revision-XLVIII,21,Reliance Industries Ltd. At Navagam via Khodiyar,Reliance Industries Ltd. At Navagam via Khodiyar,,,R-72011452,R-72011452,5201.0,5201.0,,48,RELIANCE INDUSTRIES LIMITED
51,Revision-XLIV,6,"Navitas Solar Private 371,371/B,372, 373/A/B,","Navitas Solar Private 371,371/B,372, 373/A/B",,,R-72011657,R-72011657,1142.0,1142.0,,44,NAVITAS GREEN SOLUTIONS PRIVATE LIMITED
277,Revision - XXXVI,89,"Asote Solutions 346, Asot Solar, Anita, 346, Kim-Vadoli","Asote Solutions 346, Asot Solar, Anita, 346, Kim-Vadoli",,,R-72011754,R-72011754,152.0,152.0,,36,"ASOTE SOLUTIONS 346, ASOT SOLAR, ANITA, 346, KIM-VADOLI"
10,Revision-XLVIII,13,"Nav-Yug Solar LLP C-23/22,23/23,23/24 HOJIWALA",Nav-Yug Solar LLP,"C-23/22,23/23,23/24 HOJIWALA","C-23/22,23/23,23/24 HOJIWALA",R-72011967,R-72011967,146.0,146.0,,48,NAV-YUG SOLAR LLP
35,Revision-XLVI,17,Mundra Solar PV Co-ALMM with M/s. Goldi Sun,Mundra Solar PV,Co-ALMM with M/s. Goldi Sun,Co-ALMM with M/s. Goldi Sun,R-72012025,R-72012025,210.0,210.0,,46,MUNDRA SOLAR PV LIMITED
97,Revision-XLI,14,ECE (India) Co-ALMM with M/s.,ECE,Co-ALMM with M/s,Co-ALMM with M/s,R-72012203,R-72012203,100.0,100.0,India,41,ECE
17,Revision-XLVII,3,"Rajdeep Solar Energy Survey no. 432, Moti Chirai,",Rajdeep Solar Energy,"Survey no. 432, Moti Chirai","Survey no. 432, Moti Chirai",R-72012270,R-72012270,194.0,194.0,,47,RAJDEEP SOLAR ENERGY
172,Revision-XXXVII,16,"Knack Energy Survey No. 291 & 292,",Knack Energy,Survey No. 291 & 292,Survey No. 291 & 292,R-72012319,R-72012319,598.0,598.0,,37,KNACK ENERGY PRIVATE LIMITED
24,Revision-XLVII,10,"Macwin Solar Energy Block No.- 462, Near Kanhya",Macwin Solar Energy,"Block No.- 462, Near Kanhya","Block No.- 462, Near Kanhya",R-72012343,R-72012343,408.0,408.0,,47,MACWIN SOLAR ENERGY PRIVATE LIMITED
90,Revision-XLI,3,"Onix-Tech Plot No. P212 B,",Onix-Tech,Plot No. P212 B,Plot No. P212 B,R-72012360,R-72012360,56.0,56.0,,41,ONIX-TECH RENEWABLES PRIVATE LIMITED
23,Revision-XLVII,9,"SAHJANAND GREEN BLOCK NO.645, NR.",SAHJANAND GREEN,"BLOCK NO.645, NR","BLOCK NO.645, NR",R-72012416,R-72012416,193.0,193.0,,47,GREENBRILLIANCE RENEWABLE ENERGY LLP
93,Revision-XLI,9,Avco Power New survey No.-,Avco Power New,survey No,survey No,R-72012432,R-72012432,185.0,185.0,,41,AVCO POWER PRIVATE LIMITED
108,Revision-XLI,24,"Goldi Sun Unit no 6 (Type F) ,",Goldi Sun,Unit no 6 (Type F),Unit no 6 (Type F),R-72012467,R-72012467,7263.0,7263.0,,41,GOLDI SUN PRIVATE LIMITED
89,Revision-XLI,1,"Arkalight Solar Block No. 344,",Arkalight Solar,Block No. 344,Block No. 344,R-72012661,R-72012661,506.0,506.0,,41,ARKALIGHT SOLAR PRIVATE LIMITED
148,Revision-XXXVIII,22,"Contendre Final Plot No: 369, Pandit",Contendre Final,"Plot No: 369, Pandit","Plot No: 369, Pandit",R-72012700,R-72012700,45.0,45.0,,38,CONTENDRE FINAL
82,Revision-XLII,6,Raajratna Co-ALMM with M/s.,Raajratna,Co-ALMM with M/s,Co-ALMM with M/s,R-72013099,R-72013099,50.0,50.0,,42,RAAJRATNA
73,Revision-XLIII,14,Luminous Power Co-ALMM with M/s. Knack,Luminous Power,Co-ALMM with M/s. Knack,Co-ALMM with M/s. Knack,R-72013200,R-72013200,19.0,19.0,,43,LUMINOUS POWER TECHNOLOGIES PRIVATE LIMITED
68,Revision-XLIII,7,"Solitech Green Block No 210 B,",Solitech Green,Block No 210 B,Block No 210 B,R-72013358,R-72013358,1321.0,1321.0,,43,SOLITECH GREEN ENERGY PRIVATE LIMITED
83,Revision-XLII,7,Rajasthan Co-ALMM with M/s.,Rajasthan,Co-ALMM with M/s,Co-ALMM with M/s,R-72013498,R-72013498,10.0,10.0,,42,RAJASTHAN ELECTRONICS AND INSTRUMENTS LIMITED
